key,subject,atlas,variant,part_file
103|atlas_4S456Parcels|sift_invnodevol_radius2_count_connectivity,103,atlas_4S456Parcels,sift_invnodevol_radius2_count_connectivity,cache_part_02.npz
103|atlas_4S456Parcels|sift_radius2_count_connectivity,103,atlas_4S456Parcels,sift_radius2_count_connectivity,cache_part_02.npz
103|atlas_AAL116|radius2_count_connectivity,103,atlas_AAL116,radius2_count_connectivity,cache_part_02.npz
103|atlas_AAL116|radius2_meanlength_connectivity,103,atlas_AAL116,radius2_meanlength_connectivity,cache_part_02.npz
103|atlas_AAL116|sift_invnodevol_radius2_count_connectivity,103,atlas_AAL116,sift_invnodevol_radius2_count_connectivity,cache_part_02.npz
103|atlas_AAL116|sift_radius2_count_connectivity,103,atlas_AAL116,sift_radius2_count_connectivity,cache_part_02.npz
103|atlas_AICHA384Ext|radius2_count_connectivity,103,atlas_AICHA384Ext,radius2_count_connectivity,cache_part_02.npz
103|atlas_AICHA384Ext|radius2_meanlength_connectivity,103,atlas_AICHA384Ext,radius2_meanlength_connectivity,cache_part_02.npz
103|atlas_AICHA384Ext|sift_invnodevol_radius2_count_connectivity,103,atlas_AICHA384Ext,sift_invnodevol_radius2_count_connectivity,cache_part_02.npz
103|atlas_AICHA384Ext|sift_radius2_count_connectivity,103,atlas_AICHA384Ext,sift_radius2_count_connectivity,cache_part_02.npz
103|atlas_Brainnetome246Ext|radius2_count_connectivity,103,atlas_Brainnetome246Ext,radius2_count_connectivity,cache_part_02.npz
103|atlas_Brainnetome246Ext|radius2_meanlength_connectivity,103,atlas_Brainnetome246Ext,radius2_meanlength_connectivity,cache_part_02.npz
103|atlas_Brainnetome246Ext|sift_invnodevol_radius2_count_connectivity,103,atlas_Brainnetome246Ext,sift_invnodevol_radius2_count_connectivity,cache_part_02.npz
103|atlas_Brainnetome246Ext|sift_radius2_count_connectivity,103,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,cache_part_02.npz
103|atlas_Gordon333Ext|radius2_count_connectivity,103,atlas_Gordon333Ext,radius2_count_connectivity,cache_part_02.npz
103|atlas_Gordon333Ext|radius2_meanlength_connectivity,103,atlas_Gordon333Ext,radius2_meanlength_connectivity,cache_part_02.npz
103|atlas_Gordon333Ext|sift_invnodevol_radius2_count_connectivity,103,atlas_Gordon333Ext,sift_invnodevol_radius2_count_connectivity,cache_part_02.npz
103|atlas_Gordon333Ext|sift_radius2_count_connectivity,103,atlas_Gordon333Ext,sift_radius2_count_connectivity,cache_part_02.npz
104|atlas_4S156Parcels|radius2_count_connectivity,104,atlas_4S156Parcels,radius2_count_connectivity,cache_part_02.npz
104|atlas_4S156Parcels|radius2_meanlength_connectivity,104,atlas_4S156Parcels,radius2_meanlength_connectivity,cache_part_02.npz
104|atlas_4S156Parcels|sift_invnodevol_radius2_count_connectivity,104,atlas_4S156Parcels,sift_invnodevol_radius2_count_connectivity,cache_part_02.npz
